"ID","date","endVZA","filename","ring","GF0_360","lens","circ","channel","stretch","gamma","zonal","thd","method","lat","lon"
"LT32","20240920",20,"LT32_20240920.jpg",10,0.229102322123084,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT32","20240920",30,"LT32_20240920.jpg",15,0.173991952928961,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT32","20240920",40,"LT32_20240920.jpg",20,0.163349824788708,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT32","20240920",50,"LT32_20240920.jpg",25,0.157204440437282,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT32","20240920",60,"LT32_20240920.jpg",30,0.14458079309577,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT32","20240920",70,"LT32_20240920.jpg",35,0.135545401554767,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT32","20240920",80,"LT32_20240920.jpg",40,0.117842547087553,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT32","20240920",90,"LT32_20240920.jpg",45,0.101264462938861,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","95","Otsu",NA,NA
"LT33","20240920",10,"LT33_20240920.jpg",5,0.0371406959152799,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","88","Otsu",NA,NA
"LT33","20240920",20,"LT33_20240920.jpg",10,0.104040360710745,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","88","Otsu",NA,NA
"LT33","20240920",30,"LT33_20240920.jpg",15,0.124531669118283,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","88","Otsu",NA,NA
"LT33","20240920",40,"LT33_20240920.jpg",20,0.120836386920558,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","88","Otsu",NA,NA
"LT33","20240920",50,"LT33_20240920.jpg",25,0.119581629000073,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","88","Otsu",NA,NA
"LT33","20240920",60,"LT33_20240920.jpg",30,0.11724763630017,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","88","Otsu",NA,NA
"LT33","20240920",70,"LT33_20240920.jpg",35,0.104876956303234,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","88","Otsu",NA,NA
"LT33","20240920",80,"LT33_20240920.jpg",40,0.0888080172313921,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","88","Otsu",NA,NA
"LT33","20240920",90,"LT33_20240920.jpg",45,0.0765854787478173,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","88","Otsu",NA,NA
"LT34","20240920",10,"LT34_20240920.jpg",5,0.050160741301059,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT34","20240920",20,"LT34_20240920.jpg",10,0.0889074773125906,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT34","20240920",30,"LT34_20240920.jpg",15,0.0992861469239422,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT34","20240920",40,"LT34_20240920.jpg",20,0.111020302498981,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT34","20240920",50,"LT34_20240920.jpg",25,0.110964525560027,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT34","20240920",60,"LT34_20240920.jpg",30,0.102270114769588,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT34","20240920",70,"LT34_20240920.jpg",35,0.0910396781359235,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT34","20240920",80,"LT34_20240920.jpg",40,0.0796864234190838,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT34","20240920",90,"LT34_20240920.jpg",45,0.0690858460502314,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT41","20240920",10,"LT41_20240920.jpg",5,0.203772692889561,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT41","20240920",20,"LT41_20240920.jpg",10,0.13097689315946,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT41","20240920",30,"LT41_20240920.jpg",15,0.110151856017998,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT41","20240920",40,"LT41_20240920.jpg",20,0.112899978239283,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT41","20240920",50,"LT41_20240920.jpg",25,0.0998215836543115,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT41","20240920",60,"LT41_20240920.jpg",30,0.0922899150813378,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT41","20240920",70,"LT41_20240920.jpg",35,0.0792689306258489,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT41","20240920",80,"LT41_20240920.jpg",40,0.0671582608244971,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT41","20240920",90,"LT41_20240920.jpg",45,0.0583864567473779,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT42","20240920",10,"LT42_20240920.jpg",5,0.320158850226929,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","103","Otsu",NA,NA
"LT42","20240920",20,"LT42_20240920.jpg",10,0.34535384732708,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","103","Otsu",NA,NA
"LT42","20240920",30,"LT42_20240920.jpg",15,0.341353725015142,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","103","Otsu",NA,NA
"LT42","20240920",40,"LT42_20240920.jpg",20,0.303543245048186,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","103","Otsu",NA,NA
"LT42","20240920",50,"LT42_20240920.jpg",25,0.256200237336003,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","103","Otsu",NA,NA
"LT42","20240920",60,"LT42_20240920.jpg",30,0.232251337574251,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","103","Otsu",NA,NA
"LT42","20240920",70,"LT42_20240920.jpg",35,0.203112943875559,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","103","Otsu",NA,NA
"LT42","20240920",80,"LT42_20240920.jpg",40,0.17424109619946,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","103","Otsu",NA,NA
"LT42","20240920",90,"LT42_20240920.jpg",45,0.150819409429726,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","103","Otsu",NA,NA
"LT43","20240920",10,"LT43_20240920.jpg",5,0.0581221633888048,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","89","Otsu",NA,NA
"LT43","20240920",20,"LT43_20240920.jpg",10,0.102879775795013,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","89","Otsu",NA,NA
"LT43","20240920",30,"LT43_20240920.jpg",15,0.150522410660206,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","89","Otsu",NA,NA
"LT43","20240920",40,"LT43_20240920.jpg",20,0.144066577789561,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","89","Otsu",NA,NA
"LT43","20240920",50,"LT43_20240920.jpg",25,0.131457959042966,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","89","Otsu",NA,NA
"LT43","20240920",60,"LT43_20240920.jpg",30,0.130895106494382,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","89","Otsu",NA,NA
"LT43","20240920",70,"LT43_20240920.jpg",35,0.118143947673734,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","89","Otsu",NA,NA
"LT43","20240920",80,"LT43_20240920.jpg",40,0.103494867471936,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","89","Otsu",NA,NA
"LT43","20240920",90,"LT43_20240920.jpg",45,0.0891377949633413,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","89","Otsu",NA,NA
"LT44","20240920",10,"LT44_20240920.jpg",5,0.111724659606657,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","91","Otsu",NA,NA
"LT44","20240920",20,"LT44_20240920.jpg",10,0.134618317699992,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","91","Otsu",NA,NA
"LT44","20240920",30,"LT44_20240920.jpg",15,0.144418966859912,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","91","Otsu",NA,NA
"LT44","20240920",40,"LT44_20240920.jpg",20,0.130075312091205,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","91","Otsu",NA,NA
"LT44","20240920",50,"LT44_20240920.jpg",25,0.12079731306475,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","91","Otsu",NA,NA
"LT44","20240920",60,"LT44_20240920.jpg",30,0.117479342075963,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","91","Otsu",NA,NA
"LT44","20240920",70,"LT44_20240920.jpg",35,0.105181015848462,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","91","Otsu",NA,NA
